municipality,people_insured,year,pharma_costs,gp_consultation_costs,hospital_costs,mental_healthcare_costs
BELLINGWEDDE,9035,2012,2933668.76,324023.25,13196979.29,
BERG EN DAL,34928,2012,9927464.19,1361039.16,44569685.97,
BERGEIJK,18318,2012,4426366.48,657928.19,21899705.82,
BERGEN LB,13253,2012,4131633.07,626816.57,16488293.46,
BERGEN NH,30748,2012,8194428.81,1114299.25,38680048.01,
BERGEN OP ZOOM,66928,2012,21315980.2,2314769.21,75546863.45,
BERKELLAND,45070,2012,12194712.77,1405457.42,56762835.55,
BERNHEZE,30153,2012,7968228.77,1195364.16,33766895.83,
BEST,28644,2012,7882147.95,1004687.69,33094406.89,
BEUNINGEN,25735,2012,6085229.97,933971.77,30082498.61,
BEVERWIJK,40431,2012,11735843.37,1333605.81,53693226.45,
BINNENMAAS,28822,2012,7677323.74,981289.79,32453907.56,
BLADEL,20088,2012,5627595.56,692103.04,23868469.85,
BLARICUM,9185,2012,2552729.22,342598.06,11423041.5,
BLOEMENDAAL,22537,2012,6196250.03,839471.76,27787204.05,
BODEGRAVEN-REEUWIJK,33255,2012,8129713.06,1081767.56,37736829.08,
BOEKEL,10053,2012,2320494.87,336620.86,10152586.94,
BORGER-ODOORN,25939,2012,7841805.4,1052175.26,33304556.76,
BORNE,21801,2012,6401048.04,721916.96,28660859,
BORSELE,22676,2012,5353485.67,630197.56,23066856.29,
BOXMEER,28589,2012,7591978.24,1041627.74,36250559.65,
BOXTEL,30630,2012,7535720.53,1159589.96,37933200.17,
BREDA,177769,2012,47309936.85,6138331.8,191318793.3,
BRIELLE,16413,2012,4989757.31,548227.55,19970133.28,
BRONCKHORST,37564,2012,10878652.29,1291924.01,45041285.54,
BRUMMEN,21398,2012,5916072.8,771423.62,27332961.45,
BRUNSSUM,29234,2012,9711559.32,1093691.42,40738450.33,
BUNNIK,14662,2012,3793832.64,464355.62,17935180.46,
BUNSCHOTEN,21328,2012,4709526.61,690234.96,24749447.59,
BUREN,25910,2012,6545842.98,842624.98,32413247.07,
CAPELLE AAN DEN IJSSEL,66584,2012,18497290.7,2479676.51,80041614.73,
CASTRICUM,34716,2012,9402925.77,1398776.95,39495522.35,
COEVORDEN,35713,2012,10303219.8,1401812.46,45620006.67,
CRANENDONCK,20296,2012,5981862.9,683268.56,26870422.35,
CROMSTRIJEN,12852,2012,3602656.19,459236.6,13197047.51,
CUIJK,25241,2012,6678048.07,893354.1,30187413.47,
CULEMBORG,28121,2012,7272201.87,794994.78,32249524.67,
DALFSEN,27656,2012,7389433.49,837977.09,31369616.07,
DANTUMADIEL,19237,2012,5236445.32,686810.1,24334545.92,
DE BILT,42484,2012,11422670.29,1476687.58,50778859.31,
DE FRYSKE MARREN,51860,2012,13396653.02,1678702.7,59713661.63,
DE MARNE,10406,2012,3274609.23,455562.72,13762346.83,
DE RONDE VENEN,43150,2012,10912669.31,1464859.54,49748501.02,
DE WOLDEN,24035,2012,6481767.7,877239.68,28982553.88,
DELFT,94251,2012,25909075.3,2952152.15,107156584.3,
DELFZIJL,26005,2012,9314673.34,1151883.46,40576937.2,
DEN HELDER,55740,2012,16829611.06,2184962.81,82190616.29,
DEURNE,31922,2012,7684034.89,1091091.66,35809896.69,
DEVENTER,98105,2012,26635736.46,3145408.52,108817954.2,
DIEMEN,24963,2012,6563474.26,742803.16,30466090.96,
DINKELLAND,26160,2012,6020297.36,742455.1,31327280.09,
DOESBURG,11625,2012,3734886.75,439418.44,15229874.79,
DOETINCHEM,56819,2012,15871279.25,1867556.33,68773261.1,
DONGEN,25540,2012,6666052.53,873685.3,27515158.76,
DONGERADEEL,24373,2012,6973965.15,812052.53,31866805.95,
DORDRECHT,120016,2012,34137061.5,4627429.32,135554414.7,
DRECHTERLAND,19419,2012,3993994.71,669326.71,19302122.88,
DRIMMELEN,26851,2012,7272721.09,1013159.82,29719078.03,
DRONTEN,39564,2012,10150050.55,1299027.13,44738818.71,
DRUTEN,18327,2012,5015552.72,599453.27,20903154.75,
DUIVEN,25622,2012,6875968.72,879624.83,31539491.17,
ECHT-SUSTEREN,32274,2012,10036321.66,1362773.81,42430248.25,
EDAM-VOLENDAM,35319,2012,10043617.9,1538078.4,45012501.21,
EDE,109287,2012,26193416.74,3580090,115075642.9,
EEMNES,8850,2012,2419316.05,281415.09,9682258.78,
EEMSMOND,20313,2012,5376360.59,693160.85,21473685.32,
EERSEL,18321,2012,4390983.71,652130.21,19433055.17,
EIJSDEN-MARGRATEN,25101,2012,7649638.15,1050662.73,28188862.73,
EINDHOVEN,217067,2012,61271133.45,8184850.06,261385103.8,
ELBURG,22572,2012,5739994.82,705076.33,26748963.11,
EMMEN,109146,2012,33068036.06,4254056.29,146882225.6,
ENKHUIZEN,18440,2012,4963221.29,595671.19,19648780.32,
ENSCHEDE,155819,2012,42145481.83,5179832.39,211822250.1,
EPE,32653,2012,9942484.32,1238890.36,40449323.68,
ERMELO,26326,2012,7222611.4,821695.26,29330840.02,
ETTEN-LEUR,42649,2012,11235727.51,1421550.35,44329178.2,
FERWERDERADIEL,8899,2012,1846804.89,228519.04,9981703.73,
FRANEKERADEEL,20589,2012,5485780.37,693324.64,23180798.78,
GEERTRUIDENBERG,21678,2012,5986838.14,835574.25,23751035.98,
GELDERMALSEN,26819,2012,6947604.16,822054.63,29111512.88,
GELDROP-MIERLO,38876,2012,11258739.45,1485820.03,51375302.24,
GEMERT-BAKEL,29320,2012,7281715.45,1036370.19,32777727.8,
GENNEP,17707,2012,4453447.13,627185.84,22567462.16,
GIESSENLANDEN,14542,2012,3783531.02,485097.66,16228709.27,
GILZE EN RIJEN,25644,2012,6629100.77,928380.93,28014238.88,
GOEREE-OVERFLAKKEE,48624,2012,15202422.07,1821899.19,61354825.38,
GOES,37047,2012,11074036.07,1181577.96,39837890.37,
GOIRLE,23090,2012,6093260.64,809848.12,27081922.75,
GOOISE MEREN,56941,2012,14947590,2013037.59,68900711.25,
GORINCHEM,35432,2012,9657135.02,1239816.2,41089506.92,
GOUDA,71473,2012,19846901.87,2589820.86,86222400.03,
GRAVE,12281,2012,3377845.81,450103.36,13844242.79,
GRONINGEN,187963,2012,42608590.7,5858909.68,194298251.9,
GROOTEGAST,12306,2012,3309714.15,531432.85,13067777.8,
GULPEN-WITTEM,14454,2012,4419767.55,596670.53,17966688.7,
HAAKSBERGEN,24464,2012,5887891.04,720487.59,31743936.56,
HAAREN,14117,2012,3324356.11,470462.37,15782327.02,
HAARLEM,154520,2012,38122745.83,4950029.84,181566005.4,
HAARLEMMERLIEDE CA,5534,2012,1317971.68,203939.44,5790400.03,
HAARLEMMERMEER,145802,2012,35181983.12,4934456.67,160092444.8,
HALDERBERGE,29384,2012,10112087.77,939216.59,34282285.87,
HARDENBERG,59882,2012,14946222.77,2061778.54,72495852.05,
HARDERWIJK,46153,2012,12441361.03,1465259.26,56617200.1,
HARDINXVELD-GIESSENDAM,17651,2012,4723583.34,541672.28,17508041.35,
HAREN,18921,2012,5113269.02,713039.36,24612127.09,
HARLINGEN,15909,2012,4593492.45,507315.02,18794257.99,
HATTEM,11833,2012,3051537.18,358006.24,14288054.48,
HEEMSKERK,39497,2012,10638285.53,1294330.61,50146149.48,
HEEMSTEDE,26615,2012,7923847.4,948659.17,34823784.6,
HEERDE,18587,2012,5401643.6,703028.5,24891525.38,
HEERENVEEN,50442,2012,13287502.52,1515604.28,62542037.71,
HEERHUGOWAARD,53064,2012,12551635.93,1966214.12,58559871.67,
HEERLEN,88775,2012,32265503.15,4191486,125171653.6,
HEEZE-LEENDE,15546,2012,4183545.98,641304.8,17794036.82,
HEILOO,22816,2012,5470352.37,814602.31,27542445.17,
HELLENDOORN,36012,2012,9580801.06,1309180.5,41758572.68,
HELLEVOETSLUIS,39406,2012,11520680.16,1480186.31,48557733.27,
HELMOND,89602,2012,23848298.85,3419440.01,101338825.2,
HENDRIK-IDO-AMBACHT,28665,2012,7534265.74,973136.67,31469606.57,
HENGELO,81662,2012,21251619.35,2571629.45,102232920.8,
HET BILDT,10458,2012,2789186.49,309278.88,10960823.99,
HEUMEN,17149,2012,4079601.31,624064.84,19178570.7,
HEUSDEN,43546,2012,11554516.62,1572961.95,52790326.77,
HILLEGOM,23888,2012,5939911.46,813785.87,24611687.2,
HILVARENBEEK,15199,2012,4024405.81,498012,16429095.16,
HILVERSUM,86919,2012,23733517.38,2943079.6,106011129,
HOF VAN TWENTE,35519,2012,10170006.23,1231253.46,45326093.87,
HOLLANDS KROON,48430,2012,11874286.69,1510771.67,53659791.73,
HOOGEVEEN,55388,2012,16836096.27,2243486.62,69101884.77,
HOOGEZAND-SAPPEMEER,34801,2012,11240529.01,1314883.55,46362317.45,
HOORN,72834,2012,17488576.75,2507596.19,82698047.34,
HORST AAN DE MAAS,42443,2012,12197033.19,1739643.34,49074363.15,
HOUTEN,48668,2012,11010619.01,1423281.98,48137236.69,
HUIZEN,41851,2012,10715406.03,1550852.71,48311215.45,
HULST,25797,2012,7900780.06,920278.57,28829933.96,
IJSSELSTEIN,34417,2012,9238180.88,1199479.82,38081549.05,
KAAG EN BRAASSEM,25856,2012,6327483.08,930714.72,27575282.52,
KAMPEN,51093,2012,12971386.01,1469903,55546369.65,
KAPELLE,12430,2012,3041788.13,328423.69,11767679.73,
KATWIJK,62138,2012,16827338.36,2107941.63,73249724.81,
KERKRADE,45134,2012,15598151.2,2263367.82,62085089.07,
KOGGENLAND,22524,2012,4443611.86,642408.75,23173803.16,
KOLLUMERLAND CA,12917,2012,3624530.65,396857.83,16116531.97,
KORENDIJK,10752,2012,2896879.33,366835.09,11837341.2,
KRIMPEN AAN DEN IJSSEL,29147,2012,8261156.73,1159142.05,34430525.29,
KRIMPENERWAARD,54497,2012,14067104,1799311.82,60229156.48,
LAARBEEK,21854,2012,5822260.82,948637.74,25341248.11,
LANDERD,15373,2012,3983753.25,559236.12,18030058.42,
LANDGRAAF,37600,2012,12358791.08,1607986.03,51078463.6,
LANDSMEER,10514,2012,2730186.46,387560.59,14135621.11,
LANGEDIJK,27056,2012,5758134.04,860902.51,28907934.56,
LANSINGERLAND,56741,2012,12204571.29,1930248.33,58723988.33,
LAREN,11189,2012,3238756.33,419581.33,15679401.62,
LEEK,19712,2012,4794870.29,740423.03,20767745.76,
LEERDAM,21250,2012,6768326.73,722304.02,26245585.61,
LEEUWARDEN,105626,2012,27438944.75,3422085.36,120234611.2,
LEEUWARDERADEEL,10364,2012,2363317.33,362072.31,11312573.58,
LEIDEN,118153,2012,28387868.06,3904353.28,120080963.6,
LEIDERDORP,26881,2012,7532955.75,941135.47,33068804.81,
LEIDSCHENDAM-VOORBURG,72847,2012,21872010.46,2613321.68,103133211.9,
LELYSTAD,76332,2012,22273818.13,2726167.99,94440508.06,
LEUDAL,36313,2012,9983785.5,1559275.45,42742310.06,
LEUSDEN,29141,2012,7193742.49,937886.99,35972415.77,
LINGEWAAL,11235,2012,2636880.76,321666.55,11849112.12,
LINGEWAARD,46085,2012,11401075.62,1575599.93,54494791.57,
LISSE,22188,2012,5633292.41,740484.67,23478274.23,
LITTENSERADIEL,11015,2012,2403791.46,380920.49,10936099.5,
LOCHEM,36239,2012,8618702.85,1023464.34,38442345.11,
LOON OP ZAND,23291,2012,6718615.43,937919.88,27684356.54,
LOPIK,14094,2012,3251326.69,508844.7,14743032.4,
LOPPERSUM,10385,2012,3167262.22,391924.03,12341743.79,
LOSSER,22583,2012,6076519.35,623823.42,31558115.92,
MAASDRIEL,24184,2012,5828760.75,788276.11,29183443.64,
MAASGOUW,24052,2012,7773198.14,1027159.27,31355066.06,
MAASSLUIS,32311,2012,9604415.25,1109751.24,39046712.8,
MAASTRICHT,114545,2012,39795929.84,5401096.48,143032931.3,
MARUM,10430,2012,2567608.17,360321.27,10704835.41,
MEDEMBLIK,43487,2012,10823721.06,1659662.91,45156681.54,
MEERSSEN,19452,2012,7027093.48,933280.08,24482934.77,
MEIERIJSTAD,79613,2012,21049540.21,3104869.25,91299504.87,
MENAMERADIEL,13809,2012,3319821.86,468758.25,15638059.67,
MENTERWOLDE,12463,2012,4191639.63,489346.71,17386708.69,
MEPPEL,32994,2012,9773356.11,1228675.57,44166487.93,
MIDDELBURG,47842,2012,12583962.77,1568705.24,47662155.24,
MIDDEN-DELFLAND,18301,2012,3933322.12,600408.82,18445740.72,
MIDDEN-DRENTHE,33632,2012,9290652.17,1145636.47,38591960.34,
MILL EN SINT HUBERT,10953,2012,3059038.61,375537.45,13279811.06,
MOERDIJK,37595,2012,10678238.9,1366419.62,41427215.79,
MOLENWAARD,29153,2012,6373060.92,1007423.88,26655446.11,
MONTFERLAND,34825,2012,10403999.91,1216545.41,45897273.24,
MONTFOORT,13682,2012,2899963.39,420283.15,14704446.42,
MOOK EN MIDDELAAR,7950,2012,1936024.73,341726.38,9361662.09,
NEDER-BETUWE,21441,2012,6426797.54,976299.67,23960521.41,
NEDERWEERT,16841,2012,4528876.85,707742.33,20180719.29,
NEERIJNEN,11887,2012,2676891.1,412894.92,13575708.63,
NIEUWEGEIN,61737,2012,16836224.15,2102371.68,75981959.47,
NIEUWKOOP,27255,2012,6444303.88,982249.72,29781113.69,
NIJKERK,40821,2012,9897876.86,1281278.47,49146768.01,
NIJMEGEN,165454,2012,41971103.56,5964057.17,189162642.4,
NISSEWAARD,85677,2012,26018008.59,3267071.72,104481556.6,
NOORD BEVELAND,7498,2012,2518459.69,273292.04,8167351.67,
NOORDENVELD,31305,2012,8133427.38,1114992.36,36894377.49,
NOORDOOSTPOLDER,46509,2012,11363046.42,1441210.43,49570448.08,
NOORDWIJK,25610,2012,6316035.63,906349.33,28672787.31,
NOORDWIJKERHOUT,15908,2012,4180080.56,530431.27,18752648.02,
NUENEN CA,22845,2012,5855173.72,785774.26,29119671.95,
NUNSPEET,26588,2012,7130726.48,892261.07,32419703.96,
NUTH,15484,2012,5320719.21,652598.12,20928164.1,
OEGSTGEEST,22823,2012,5648790.12,812908.73,25798399.54,
OIRSCHOT,18057,2012,4621103.31,756965.76,20599187.76,
OISTERWIJK,25874,2012,7951249.76,1046401.02,29241009.9,
OLDAMBT,39059,2012,13652104.85,1602731.14,55591217.3,
OLDEBROEK,22854,2012,5726332.27,729943.8,26787000.05,
OLDENZAAL,32312,2012,8686596.67,1081883.04,43071283.31,
OLST-WIJHE,17890,2012,4613650.62,584493.82,20796740.17,
OMMEN,17440,2012,4189968.19,491122.29,21146693.22,
ONDERBANKEN,7861,2012,2331434.17,321143.89,10626556.29,
OOST GELRE,30013,2012,7611484.89,1056615.62,37437039.42,
OOSTERHOUT,54210,2012,15348967.29,1760939.21,60118208.8,
OOSTSTELLINGWERF,26071,2012,7186305.71,947815.35,30707784.07,
OOSTZAAN,9181,2012,2467363.93,292235.51,10877680.53,
OPMEER,11466,2012,2861470.17,428314.68,11949252.85,
OPSTERLAND,30153,2012,7656635.21,925535.53,32352461.02,
OSS,90184,2012,26653385.9,3351790.39,109892336.5,
OUD-BEIJERLAND,23607,2012,6458737.6,744819.47,24845841.99,
OUDE IJSSELSTREEK,39968,2012,11201436.31,1350615.87,47958940.79,
OUDER-AMSTEL,13265,2012,3341099.34,452184.66,18054216.71,
OUDEWATER,10085,2012,2849069,296201.74,12200827.51,
OVERBETUWE,46611,2012,12243742.24,1597853.17,54988877.22,
PAPENDRECHT,32358,2012,9379956.98,1080914.11,36503899.1,
PEEL EN MAAS,43424,2012,11716789.48,1970402.28,50541841.15,
PEKELA,12683,2012,4456724.15,519026.83,18701063.98,
PIJNACKER-NOOTDORP,50484,2012,11097094.74,1554141.79,51212163,
PURMEREND,80362,2012,23137346.65,3138087.84,106598504.4,
PUTTEN,24143,2012,6753350.69,944415.84,26649994.07,
RAALTE,36891,2012,9714598.18,1157758.81,39811646.85,
REIMERSWAAL,21525,2012,5723241.09,654814.14,20533734.81,
RENKUM,31910,2012,9842061.44,1132780.01,43802484.9,
RENSWOUDE,4757,2012,1052937.36,155052.9,4231528.01,
REUSEL-DE MIERDEN,12668,2012,3120070.76,426792.6,14030403.79,
RHEDEN,44130,2012,12849990.91,1597794.89,63636412.65,
RHENEN,18961,2012,4275571.02,624017.37,21928313.86,
RIDDERKERK,45907,2012,13127640.17,2030112.94,60768035.46,
RIJNWAARDEN,11042,2012,2723700.78,378647.71,14496034.49,
RIJSSEN-HOLTEN,37777,2012,10247031.53,1378644.84,40083103.21,
RIJSWIJK,47489,2012,15908358.61,1758281.71,69505815.02,
ROERDALEN,20911,2012,6512478.5,823646.78,25928536.03,
ROERMOND,56641,2012,17334295.46,2153022.86,69764583.33,
ROOSENDAAL,77729,2012,24912031.18,2607278.93,87638456.74,
ROTTERDAM,620637,2012,183914490.1,23569830.64,748465471.4,
ROZENDAAL,1487,2012,399585.09,44213,2136795.41,
RUCPHEN,22431,2012,8529071.46,882936.81,28288611.9,
S GRAVENHAGE,503735,2012,150617383.9,18395599.25,629851374.3,
S HERTOGENBOSCH,153838,2012,41283183.87,5744042.47,184377532.3,
SCHAGEN,48070,2012,11098179.1,1622768.6,50533816.05,
SCHERPENZEEL,9367,2012,2219976.76,278803.18,10203517.54,
SCHIEDAM,77263,2012,22598494.18,2885228.87,94268354.51,
SCHIERMONNIKOOG,946,2012,211576.05,49914.15,1188734.92,
SCHINNEN,13055,2012,3762120.03,580621.85,18197119.82,
SCHOUWEN-DUIVELAND,34183,2012,10371609.86,1135560.95,37744175.68,
SIMPELVELD,10601,2012,3056403.6,425213.16,13925032.63,
SINT ANTHONIS,11788,2012,2904487.77,396466.27,11825650.18,
SINT-MICHIELSGESTEL,28372,2012,7281886.78,1074272.83,35342957.77,
SITTARD-GELEEN,94224,2012,32704467.41,4508273.86,133775961.9,
SLIEDRECHT,24648,2012,7517080.66,766656.84,27521818.87,
SLOCHTEREN,15563,2012,3795655.99,594103.14,17176325.52,
SLUIS,23171,2012,7321628.5,836738.68,24950880.93,
SMALLINGERLAND,55586,2012,14960123.28,1766628.65,61929771.82,
SOEST,45986,2012,12084796.12,1502464.1,61094339.92,
SOMEREN,18517,2012,4454516,642260.19,21567883.04,
SON EN BREUGEL,16229,2012,4855005.71,573890.44,20206239.19,
STADSKANAAL,32990,2012,11082442.97,1329144.05,47923528.58,
STAPHORST,16060,2012,3248159.8,383506.13,16061287.9,
STEDE BROEC,21591,2012,5181105.18,768392.64,23064522.45,
STEENBERGEN,23565,2012,7235770.83,1006508.82,28544444.72,
STEENWIJKERLAND,43595,2012,12171006.72,1500352.36,55412964.5,
STEIN,25574,2012,7895449.38,1156450.44,33767542.56,
STICHTSE VECHT,63810,2012,16974007.92,2240524.87,76841473.92,
STRIJEN,8837,2012,2804758.65,293005.05,8458390.1,
SUDWEST-FRYSLAN,84818,2012,20712699.71,2698505.78,93542679.92,
TEN BOER,7585,2012,1805799.41,277947.42,8447570.06,
TERNEUZEN,53400,2012,16509299.85,1994977.42,65976715.25,
TERSCHELLING,4787,2012,1110226.04,208898.39,4800152.65,
TEXEL,13684,2012,3753619.07,549045.67,15352563.47,
TEYLINGEN,35903,2012,8484767.25,1250995.77,37120369.58,
THOLEN,25446,2012,7803668.82,954839.4,25809363.17,
TIEL,41970,2012,10964464.6,1536984.12,51358196.32,
TILBURG,208061,2012,58611643.59,7324058.1,235049604.4,
TUBBERGEN,21352,2012,4960723.3,633777.02,23728416.85,
TWENTERAND,34004,2012,9481231.69,1199159.17,40958415.73,
TYNAARLO,32879,2012,8974642.74,1243697.43,39468022.93,
TYTSJERKSTERADIEL,31911,2012,7723109.26,1015055.31,33894014.4,
UDEN,41419,2012,11110992.18,1674473.48,51559642.04,
UITGEEST,13250,2012,2836659.91,396535.38,14115029.72,
UITHOORN,28580,2012,7369639.73,919295.54,33614795.74,
URK,18544,2012,3688059.82,474636.5,15275299.64,
UTRECHT,318745,2012,73523386.94,9572383.79,312740828.2,
UTRECHTSE HEUVELRUG,48192,2012,13167502.01,1935072.68,59154698.17,
VAALS,7938,2012,2902916.19,370497.05,9003387.85,
VALKENBURG AAN DE GEUL,16910,2012,5543436.61,789081.52,20915111.52,
VALKENSWAARD,30792,2012,9080517.39,1072717.48,39112566.09,
VEENDAM,28082,2012,8619139.34,1070676.05,38403818.37,
VEENENDAAL,63067,2012,17260973.05,2088432.33,67050147.36,
VEERE,21974,2012,5453514.31,722495.57,20173299.68,
VELDHOVEN,44286,2012,11455921.04,1430831.59,52668716.78,
VELSEN,67705,2012,19138758.36,2479943.82,88227498.09,
VENLO,99975,2012,32602046.42,3992121.91,129355448.3,
VENRAY,43176,2012,12224823.22,1591307.62,50153559.74,
VIANEN,19788,2012,5280372.78,625888.14,23326222.31,
VLAARDINGEN,71505,2012,21449829.4,2476058.69,90472822.91,
VLAGTWEDDE,16046,2012,5332189.7,626729.37,23242682.49,
VLIELAND,1071,2012,253720.56,44465.81,1103763.11,
VLISSINGEN,44404,2012,13221489,1429479.04,46098493.79,
VOERENDAAL,12581,2012,4002056.87,520387.3,15116473.62,
VOORSCHOTEN,24686,2012,6598389.11,905835.19,29871387.26,
VOORST,23982,2012,6378305.43,881835.89,27849217.23,
VUGHT,25926,2012,6684727.8,912993.35,32661216.38,
WAALRE,16855,2012,4659406.47,612812.46,19884061.99,
WAALWIJK,48181,2012,13772577.81,2010416.36,53799950.18,
WADDINXVEEN,25478,2012,7041315.55,976742.34,30720740.81,
WAGENINGEN,34584,2012,8011578.93,976873.3,33398186.13,
WASSENAAR,25136,2012,7008297.74,920933.89,35396281.08,
WATERLAND,17241,2012,4857245.11,622983.73,22138942.48,
WEERT,48919,2012,15302976.67,1838169.55,66174301.81,
WEESP,18264,2012,4627287.84,657492.63,21732832.16,
WERKENDAM,26237,2012,6706584.63,956152.52,28614037.34,
WEST MAAS EN WAAL,18516,2012,4630575.23,591863.87,21813288.68,
WESTERVELD,19276,2012,5470508.47,647412.49,25455040.55,
WESTERVOORT,15269,2012,4448470.19,544674.57,19256905.3,
WESTLAND,101773,2012,26257993.4,3431978.97,115149495.8,
WESTSTELLINGWERF,25798,2012,7126791.04,877487.66,34200241.64,
WESTVOORNE,14067,2012,4122761.35,553181.96,16604854.34,
WIERDEN,23939,2012,5763933.57,803880.93,27102991.28,
WIJCHEN,41371,2012,10989382.66,1615688.85,49197928.32,
WIJDEMEREN,23562,2012,6486835.99,937371.36,31428574.34,
WIJK BIJ DUURSTEDE,23130,2012,5613323.88,711652.11,24283593.46,
WINSUM,14001,2012,3534107.63,494081.13,15475067.83,
WINTERSWIJK,28808,2012,8344652.29,993890.81,37102046.84,
WOENSDRECHT,20708,2012,6186204.66,705567.03,24216316.98,
WOERDEN,50711,2012,13457561.08,1805506.64,61859464.58,
WORMERLAND,15836,2012,3823700.67,577959.09,20694081.34,
WOUDENBERG,12328,2012,2881118.87,383448.6,13983181.38,
WOUDRICHEM,14563,2012,3654901.49,553991.57,15330784.13,
ZAANSTAD,151149,2012,40658346,5395562.79,192687415.7,
ZALTBOMMEL,26986,2012,6562000.81,1059751.54,30040020.28,
ZANDVOORT,16805,2012,5895774.28,670020.88,23505204.84,
ZEDERIK,13555,2012,3510627.83,472139.46,13796543.9,
ZEEWOLDE,21923,2012,4663762.78,526943.67,22371211.56,
ZEIST,61605,2012,15745995.09,1803282.59,69503282.02,
ZEVENAAR,32556,2012,9122777.64,1175163.53,44325899.79,
ZOETERMEER,123922,2012,34036305.26,4512908.55,157405702,
ZOETERWOUDE,8171,2012,1959715.34,284671.35,8279483.43,
ZUIDHORN,18818,2012,4364743.11,641496.08,21955871.97,
ZUIDPLAS,41116,2012,10010808.12,1524493.59,45301660.19,
ZUNDERT,21047,2012,5936750.99,700583.94,21055700.12,
ZUTPHEN,47593,2012,12841209.07,1497345.36,58882873.95,
ZWARTEWATERLAND,22513,2012,5015827.5,677527.87,23095545.11,
ZWIJNDRECHT,45159,2012,14669164.94,1638252.55,53409201.15,
ZWOLLE,123017,2012,30425639.69,3852258.57,139314442.9,
AA EN HUNZE,25544,2013,6288364.94,864048.46,32941998.65,
AALBURG,12765,2013,3229145.31,444496.95,15321288.7,
AALSMEER,30885,2013,7343903.14,1055044.82,32786294.52,
AALTEN,26928,2013,7065152.03,1028529.55,32074981.51,
ACHTKARSPELEN,28177,2013,6933403.51,931557.54,33340856.07,
ALBLASSERDAM,19597,2013,5563925.93,736640.74,23138791.93,
ALBRANDSWAARD,25200,2013,5528437.68,905743.52,28560022.67,
ALKMAAR,106934,2013,24603055.58,3590920.06,121958805.6,
ALMELO,72694,2013,21124738.56,2691521.72,96348403.38,
ALMERE,195738,2013,44634913.94,6656149.97,225931241,
ALPHEN AAN DEN RIJN,107635,2013,25320580.63,3698614.61,126796503.5,
ALPHEN-CHAAM,9737,2013,2267472.71,367567.02,9602522.99,
AMELAND,3550,2013,700731.76,162918.04,3660306.06,
AMERSFOORT,151366,2013,34802295.06,4761594.45,167585347.4,
AMSTELVEEN,82545,2013,20341433.31,2482288.5,97191162.52,
AMSTERDAM,807134,2013,228618552.3,25881981.04,922034718.7,
APELDOORN,158177,2013,40374775.68,5004898.99,213377884.3,
APPINGEDAM,12133,2013,4089438.5,500922.79,18542549.49,
ARNHEM,149781,2013,38281108.89,5144400.16,188458787.3,
ASSEN,67324,2013,15615250.48,2313278.04,78081291.76,
ASTEN,16352,2013,3604492.85,561025.6,20758057.77,
BAARLE-NASSAU,6569,2013,2067705.67,242989.36,8067203.94,
BAARN,24524,2013,6225745.86,838286.58,31959475.49,
BARENDRECHT,47556,2013,10582684.33,1543780.26,55010496.07,
BARNEVELD,53620,2013,11446468.07,1737320.09,56349324.01,
BEDUM,10559,2013,2511013.74,293844.06,13077876.28,
BEEK,16273,2013,4469705.78,691426.38,21140280.17,
BEEMSTER,8946,2013,1832074.39,268984.56,11766364.96,
BEESEL,13601,2013,3673140.68,504660.2,19625914.4,
BELLINGWEDDE,8965,2013,2845842.38,331854.29,12477534.89,
BERG EN DAL,34714,2013,9479543.19,1352272.35,48282997.6,
BERGEIJK,18318,2013,4234254.83,650445.26,21193309.65,
BERGEN LB,13234,2013,3797972.62,614600.49,17571474.22,
BERGEN NH,30483,2013,7067144.67,1062933.98,39718317.76,
BERGEN OP ZOOM,66809,2013,19706212.11,2324567.84,80743906.89,
BERKELLAND,44831,2013,11190442.94,1394433.16,57334524.96,
BERNHEZE,29849,2013,7391864.26,1138964.97,35816710.76,
BEST,28646,2013,7503249.55,991901.63,34578701.12,
BEUNINGEN,25432,2013,5924125.46,943483.77,31406308.88,
BEVERWIJK,40330,2013,10784998.12,1320051.27,52606838.67,
BINNENMAAS,28762,2013,7315797.84,990109.4,34388186.36,
BLADEL,20132,2013,5205112.3,670331.28,23974700.7,
BLARICUM,9189,2013,2255586.29,333465.55,13117170.19,
BLOEMENDAAL,22414,2013,5336923.39,834295.91,29948197.63,
BODEGRAVEN-REEUWIJK,33344,2013,7753199.67,1079940.79,39425128.86,
BOEKEL,10066,2013,2359213.55,324018.57,10947741.29,
BORGER-ODOORN,25818,2013,7259904.59,1052158.92,35416533.01,
BORNE,22013,2013,6039754.16,711824.56,30174474.34,
BORSELE,22572,2013,4866498.96,653218.02,23714493.75,
BOXMEER,28413,2013,7295799.59,987618.15,36075022.92,
BOXTEL,30491,2013,7378198.06,1136980.27,39483278.37,
BREDA,178666,2013,45067611.44,6296185.73,204285074.9,
BRIELLE,16411,2013,4486372.44,558052.95,20864814.29,
BRONCKHORST,37262,2013,10233015.95,1277193.46,47744869.92,
BRUMMEN,21357,2013,5695911.9,773269,27958385.18,
BRUNSSUM,29060,2013,9225168.44,1079617.48,42821392.66,
BUNNIK,14684,2013,3628688.2,483328.49,18941159.05,
BUNSCHOTEN,21339,2013,4414662.73,671990,24006639.92,
BUREN,25936,2013,6225005.78,815187.65,33706109.37,
